127.0.0.1 - - [18/Oct/2022:17:38:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/resources/caliburn_11.svg HTTP/1.1" 200 2653495
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/resources/caliburn_1.svg HTTP/1.1" 200 2780487
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/resources/caliburn_9.svg HTTP/1.1" 200 1967294
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/resources/caliburn_10.svg HTTP/1.1" 200 4795560
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/%EC%8B%A0%EB%B0%94%EB%9E%8C%EC%82%BC%EB%8C%80.jpg HTTP/1.1" 200 596162
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:52 +0900] "GET /semiProject/%EB%B3%B4%EC%9D%B4%EC%A7%80%20%EC%95%8A%EB%8A%94%20%EC%86%90.jpg HTTP/1.1" 200 50353
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:52 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:52 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:52 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:59 +0900] "GET /semiProject/QnA_list HTTP/1.1" 200 22383
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:59 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:59 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:59 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:03 +0900] "GET /semiProject/QnaWrite HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:04 +0900] "GET /semiProject/QnA_list HTTP/1.1" 200 22383
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:04 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:04 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:04 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:05 +0900] "GET /semiProject/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:05 +0900] "GET /semiProject/login.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:05 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:05 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:05 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:12 +0900] "POST /semiProject/login HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:13 +0900] "GET /semiProject/login.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:13 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:13 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:13 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:17 +0900] "POST /semiProject/login HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:18 +0900] "GET /semiProject/login.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:18 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:19 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:19 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:19 +0900] "GET /semiProject/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:19 +0900] "GET /semiProject/login.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:19 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:19 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:19 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:23 +0900] "POST /semiProject/login HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:24 +0900] "GET /semiProject/login.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:24 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:24 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:24 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:27 +0900] "POST /semiProject/login HTTP/1.1" 500 16779
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:27 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:27 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:35 +0900] "POST /semiProject/login HTTP/1.1" 500 16779
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:35 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:35 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:37 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:39 +0900] "POST /semiProject/login HTTP/1.1" 500 16779
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:39 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:39:39 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:15 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:19 +0900] "POST /semiProject/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:20 +0900] "GET /semiProject/main2 HTTP/1.1" 200 77623
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:20 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:20 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:20 +0900] "GET /semiProject/resources/caliburn_3.svg HTTP/1.1" 200 3613334
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:20 +0900] "GET /semiProject/resources/p_0.svg HTTP/1.1" 200 30555
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:20 +0900] "GET /semiProject/resources/p_1.svg HTTP/1.1" 200 48275
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:20 +0900] "GET /semiProject/resources/p_2.svg HTTP/1.1" 200 50513
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:20 +0900] "GET /semiProject/resources/p_3.svg HTTP/1.1" 200 27451
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:20 +0900] "GET /semiProject/resources/p_4.svg HTTP/1.1" 200 43327
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:20 +0900] "GET /semiProject/resources/p_5.svg HTTP/1.1" 200 48275
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:21 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:26 +0900] "GET /semiProject/QnA_list HTTP/1.1" 200 22222
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:26 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:26 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:26 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:28 +0900] "GET /semiProject/QnaWrite HTTP/1.1" 200 17798
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:28 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:28 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:28 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:48 +0900] "POST /semiProject/QnaWrite HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:49 +0900] "GET /semiProject/QnA_list HTTP/1.1" 200 22636
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:49 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:49 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:40:49 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:02 +0900] "GET /semiProject/QnaView?boardNo=61 HTTP/1.1" 200 18536
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:02 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:02 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:02 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:07 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:16 +0900] "GET /semiProject/musical HTTP/1.1" 200 36149
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:16 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:17 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:17 +0900] "GET /semiProject/img/demo/booking/musical-bg2.jpg HTTP/1.1" 200 153290
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:17 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:19 +0900] "GET /semiProject/musicalSearch?prfnmValue=&prfcastValue=&adresValue=&dateValue=2022.10.18 HTTP/1.1" 200 38992
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:19 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:19 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:19 +0900] "GET /semiProject/img/blog/shin.jpg HTTP/1.1" 200 284125
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:19 +0900] "GET /semiProject/img/blog/hang.jpg HTTP/1.1" 200 231792
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:19 +0900] "GET /semiProject/img/blog/yeon.jpg HTTP/1.1" 200 94189
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:19 +0900] "GET /semiProject/img/blog/sa.jpg HTTP/1.1" 200 69871
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:19 +0900] "GET /semiProject/img/blog/chung.jpg HTTP/1.1" 200 224290
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:19 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:20 +0900] "GET /semiProject/showSelect?prfid=PF186753 HTTP/1.1" 200 40420
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:20 +0900] "GET /semiProject/resources/dblquote.svg HTTP/1.1" 200 9738
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:20 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:20 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:20 +0900] "GET /semiProject/resources/1000x250_4.svg HTTP/1.1" 200 6585669
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:20 +0900] "GET /semiProject/img/account/cards/cards.png HTTP/1.1" 200 31250
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:21 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:41 +0900] "GET /semiProject/ticketInsert?prfid=PF186753&prfnm=%EC%9A%94%ED%95%9C%EB%B3%B5%EC%9D%8C&day=2022-10-12&type=adult&peopleCount=4&seatInfo=0&payment-method=on HTTP/1.1" 200 21947
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:41 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:41 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:41 +0900] "GET /semiProject/logo_bigger.svg HTTP/1.1" 200 11176
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:41:43 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:44:58 +0900] "GET /semiProject/notice_list HTTP/1.1" 200 22806
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:44:59 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:44:59 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:44:59 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
