127.0.0.1 - - [06/Aug/2022:00:55:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:22 +0900] "GET /semiProject/main2 HTTP/1.1" 200 67885
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:22 +0900] "GET /semiProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:22 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:22 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:22 +0900] "GET /semiProject/logo_ver3.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:23 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:23 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:23 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:24 +0900] "GET /semiProject/login.jsp HTTP/1.1" 200 17304
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:24 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:24 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:24 +0900] "GET /semiProject/images/css_sprites.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:24 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:29 +0900] "POST /semiProject/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:29 +0900] "GET /semiProject/main2 HTTP/1.1" 200 67608
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:29 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:29 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:29 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:32 +0900] "GET /semiProject/logout HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:33 +0900] "GET /semiProject/main2 HTTP/1.1" 200 67885
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:33 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:33 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [06/Aug/2022:00:55:34 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
