127.0.0.1 - - [22/Aug/2022:08:47:37 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Aug/2022:08:47:38 +0900] "GET /semiProject/main2 HTTP/1.1" 200 77898
0:0:0:0:0:0:0:1 - - [22/Aug/2022:08:47:38 +0900] "GET /semiProject/css/theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:08:47:38 +0900] "GET /semiProject/vendor/flatpickr/dist/flatpickr.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:08:47:38 +0900] "GET /semiProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:08:47:38 +0900] "GET /semiProject/vendor/tiny-slider/dist/tiny-slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:08:47:38 +0900] "GET /semiProject/vendor/simplebar/dist/simplebar.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:08:47:38 +0900] "GET /semiProject/dist/vendor/flatpickr/dist/flatpickr.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:08:47:39 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [22/Aug/2022:08:47:39 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [22/Aug/2022:08:47:39 +0900] "GET /semiProject/vendor/imagesloaded/imagesloaded.pkgd.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:08:47:39 +0900] "GET /semiProject/vendor/shufflejs/dist/shuffle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:08:47:39 +0900] "GET /semiProject/vendor/parallax-js/dist/parallax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:08:47:39 +0900] "GET /semiProject/vendor/simplebar/dist/simplebar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:08:47:39 +0900] "GET /semiProject/vendor/flatpickr/dist/flatpickr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:08:47:39 +0900] "GET /semiProject/vendor/smooth-scroll/dist/smooth-scroll.polyfills.min.js HTTP/1.1" 304 -
