127.0.0.1 - - [19/Aug/2022:22:01:37 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/main2 HTTP/1.1" 200 77898
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/css/theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/vendor/tiny-slider/dist/tiny-slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/vendor/flatpickr/dist/flatpickr.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/vendor/simplebar/dist/simplebar.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/dist/vendor/flatpickr/dist/flatpickr.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/style.css HTTP/1.1" 200 14037
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/vendor/imagesloaded/imagesloaded.pkgd.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/vendor/shufflejs/dist/shuffle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/vendor/parallax-js/dist/parallax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/vendor/simplebar/dist/simplebar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/vendor/tiny-slider/dist/min/tiny-slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/vendor/flatpickr/dist/flatpickr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/vendor/smooth-scroll/dist/smooth-scroll.polyfills.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/vendor/jarallax/dist/jarallax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/vendor/flatpickr/dist/plugins/rangePlugin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/js/theme.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/vendor/lightgallery.js/dist/js/lightgallery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/vendor/lg-video.js/dist/lg-video.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/resources/caliburn_2.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/resources/caliburn_4.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/resources/caliburn_5.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/resources/caliburn_3.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/resources/caliburn_1.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/logo_ver3.svg HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/resources/caliburn_6.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/fonts/around-icons.ttf?enmnv5 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/resources/caliburn_7.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/resources/caliburn_8.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/resources/caliburn_9.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/resources/caliburn_10.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/resources/caliburn_11.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/resources/caliburn_12.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/resources/caliburn_13.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/resources/caliburn_14.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/resources/caliburn_15.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/resources/p_0.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/resources/p_1.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/resources/p_2.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/resources/p_3.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/resources/p_4.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:39 +0900] "GET /semiProject/resources/p_5.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:40 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:40 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:40 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:41 +0900] "GET /semiProject/drama HTTP/1.1" 200 44135
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:41 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:41 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:41 +0900] "GET /semiProject/img/blog/avatar/06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:41 +0900] "GET /semiProject/img/blog/avatar/03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:41 +0900] "GET /semiProject/img/blog/avatar/01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:42 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:48 +0900] "GET /semiProject/main2 HTTP/1.1" 200 77898
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:48 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:48 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:48 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:59 +0900] "GET /semiProject/main2 HTTP/1.1" 200 77898
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:59 +0900] "GET /semiProject/css/theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:59 +0900] "GET /semiProject/vendor/simplebar/dist/simplebar.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:59 +0900] "GET /semiProject/vendor/flatpickr/dist/flatpickr.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:59 +0900] "GET /semiProject/style.css HTTP/1.1" 200 14037
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:59 +0900] "GET /semiProject/vendor/tiny-slider/dist/tiny-slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:59 +0900] "GET /semiProject/dist/vendor/flatpickr/dist/flatpickr.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:59 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:59 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:59 +0900] "GET /semiProject/vendor/simplebar/dist/simplebar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:59 +0900] "GET /semiProject/vendor/shufflejs/dist/shuffle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:59 +0900] "GET /semiProject/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:59 +0900] "GET /semiProject/vendor/imagesloaded/imagesloaded.pkgd.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:59 +0900] "GET /semiProject/vendor/parallax-js/dist/parallax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:59 +0900] "GET /semiProject/vendor/smooth-scroll/dist/smooth-scroll.polyfills.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:59 +0900] "GET /semiProject/logo_ver3.svg HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:59 +0900] "GET /semiProject/vendor/jarallax/dist/jarallax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:59 +0900] "GET /semiProject/vendor/tiny-slider/dist/min/tiny-slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:59 +0900] "GET /semiProject/vendor/flatpickr/dist/flatpickr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:59 +0900] "GET /semiProject/vendor/flatpickr/dist/plugins/rangePlugin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:01:59 +0900] "GET /semiProject/vendor/lightgallery.js/dist/js/lightgallery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:02:00 +0900] "GET /semiProject/vendor/lg-video.js/dist/lg-video.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:02:00 +0900] "GET /semiProject/js/theme.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:02:00 +0900] "GET /semiProject/resources/caliburn_1.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:22:02:00 +0900] "GET /semiProject/resources/caliburn_3.svg HTTP/1.1" 304 -
