0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:50:12 +0900] "GET /semiProject/resources/caliburn_10.svg HTTP/1.1" 200 4795560
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:50:12 +0900] "GET /semiProject/resources/caliburn_1.svg HTTP/1.1" 200 2780487
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:50:12 +0900] "GET /semiProject/%EC%8B%A0%EB%B0%94%EB%9E%8C%EC%82%BC%EB%8C%80.jpg HTTP/1.1" 200 596162
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:50:12 +0900] "GET /semiProject/%EB%B3%B4%EC%9D%B4%EC%A7%80%20%EC%95%8A%EB%8A%94%20%EC%86%90.jpg HTTP/1.1" 200 50353
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:50:12 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:50:12 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:50:12 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:50:15 +0900] "GET /semiProject/musical HTTP/1.1" 500 8237
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:50:15 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:50:18 +0900] "GET /semiProject/musical HTTP/1.1" 500 8237
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:50:18 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:50:19 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:51:50 +0900] "GET /semiProject/ HTTP/1.1" 200 59219
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:51:50 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:51:50 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:51:51 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:51:51 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:51:51 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
