0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:26:56 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:26:56 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:26:57 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:26:57 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:26:57 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:27:25 +0900] "GET /semiProject/main2 HTTP/1.1" 200 72134
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:27:25 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:27:25 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:27:26 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:28:06 +0900] "GET /semiProject/main2 HTTP/1.1" 200 72134
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:28:06 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:28:06 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:28:07 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:28:07 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:28:07 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:28:50 +0900] "GET /semiProject/main2 HTTP/1.1" 200 72138
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:28:50 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:28:50 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:28:51 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:28:51 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:28:51 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:29:25 +0900] "GET /semiProject/main2 HTTP/1.1" 200 72156
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:29:25 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:29:25 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:29:26 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:29:26 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:29:26 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:36 +0900] "GET /semiProject/main2 HTTP/1.1" 200 72156
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:36 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:36 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:37 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:37 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:37 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:45 +0900] "GET /semiProject/showSelect?prfmid=PF191212 HTTP/1.1" 200 22221
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:45 +0900] "GET /semiProject/null HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:45 +0900] "GET /semiProject/resources/dblquote.svg HTTP/1.1" 200 9738
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:45 +0900] "GET /semiProject/resources/1000x250_4.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:45 +0900] "GET /semiProject/null HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:46 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:50 +0900] "GET /semiProject/showSelect?prfmid=PF191212 HTTP/1.1" 200 22221
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:50 +0900] "GET /semiProject/null HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:50 +0900] "GET /semiProject/null HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:50 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:56 +0900] "GET /semiProject/showSelect?prfmid=PF191212 HTTP/1.1" 200 22221
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:56 +0900] "GET /semiProject/null HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:56 +0900] "GET /semiProject/null HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:56 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:59 +0900] "GET /semiProject/showSelect?prfmid=PF191212 HTTP/1.1" 200 22221
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:59 +0900] "GET /semiProject/null HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:59 +0900] "GET /semiProject/null HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:30:59 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:31:02 +0900] "GET /semiProject/showSelect?prfmid=PF191212 HTTP/1.1" 200 22221
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:31:02 +0900] "GET /semiProject/null HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:31:02 +0900] "GET /semiProject/null HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:31:03 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:32:25 +0900] "GET /semiProject/main2 HTTP/1.1" 200 72149
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:32:25 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:32:25 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:32:26 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:32:29 +0900] "GET /semiProject/showSelect?PF195108 HTTP/1.1" 200 22221
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:32:29 +0900] "GET /semiProject/null HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:32:29 +0900] "GET /semiProject/null HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:32:29 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:34:15 +0900] "GET /semiProject/main2 HTTP/1.1" 200 72156
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:34:15 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:34:15 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:34:16 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:34:16 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:34:16 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:34:20 +0900] "GET /semiProject/showSelect?prfid=PF195108 HTTP/1.1" 200 42564
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:34:20 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:34:20 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:34:20 +0900] "GET /semiProject/%EC%97%85%EB%8D%B0%EC%9D%B4%ED%8A%B8%EC%98%88%EC%A0%95 HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:34:20 +0900] "GET /semiProject/img/account/cards/cards.png HTTP/1.1" 200 31250
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:34:20 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:34:24 +0900] "GET /semiProject/showSelect?prfid=PF194254 HTTP/1.1" 200 42482
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:34:24 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:34:24 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:34:24 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:00 +0900] "GET /semiProject/main2 HTTP/1.1" 200 72150
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:00 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:00 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:01 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:01 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:01 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:04 +0900] "GET /semiProject/showSelect?prfid=PF189859 HTTP/1.1" 200 43199
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:04 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:04 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:04 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:08 +0900] "GET /semiProject/showSelect?prfid=PF194254 HTTP/1.1" 200 42482
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:08 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:08 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:09 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
